Batch,Frequency,Frequency Detla,|V| Sadie 1,Vphase Sadie 1,|V| Sadie 2,Vphase Sadie 2,|V| Tucker,Vphase Tucker,|V| Duke,Vphase Duke,|V| Adam,Vphase Adam,|V| Zeus,Vphase Zeus,|V| Murphy,Vphase Murphy,|I| Sadie 1 to Tucker,Iangle Sadie 1 to Tucker,|I| Sadie 1 to Duke,Iangle Sadie 1 to Duke,|I| Sadie 1 to Sadie 2,Iangle Sadie 1 to Sadie 2,|I| Sadie 2 to Tucker,Iangle Sadie 2 to Tucker,|I| Sadie 2 to Duke,Iangle Sadie 2 to Duke,|I| Duke to Adam,Iangle Duke to Adam,|I| Tucker to Adam,Iangle Tucker to Adam,|I| Zeus to Tucker,Iangle Zeus to Tucker,|I| Zeus to Murphy,Iangle Zeus to Murphy,|I| Murphy to Zeus,Iangle Murphy to Zeus,|I| Duke to Murphy,Iangle Duke to Murphy
1,60.012,0,26697.5,0,26644.1,0.0088,25195.7,-3.2708,25539.8,-2.1968,25132,-3.2653,24256.7,-5.7841,24251.5,-5.6032,703.059,-5.1206,429.12,-0.7302,2.02658,177.1406,703.716,-4.6216,428.333,-1.1784,259.467,1.4707,15.4812,-102.4034,31.3636,-140.3034,491.205,175.3756,31.5406,40.4049,570.815,175.3906
2,60.013,0.02,26697.8,0,26641.2,-0.0031,25194,-3.2666,25535.8,-2.2065,25130.3,-3.2609,24251,-5.7912,24245.9,-5.6103,702.897,-5.1571,428.471,-0.7081,1.96948,182.9751,703.242,-4.5877,428.619,-1.1787,259.363,1.4907,15.4812,-102.4749,31.3636,-140.3749,491.459,175.3681,31.5406,40.3334,570.668,175.3601
3,60.013,0,26694.9,0,26637,0.0065,25191,-3.2734,25536.2,-2.201,25125.8,-3.2576,24247,-5.7963,24244.5,-5.6014,703.165,-5.1683,428.471,-0.7675,2.17851,184.1347,702.927,-4.5768,428.906,-1.1671,259.363,1.4313,15.4812,-102.5343,31.3636,-140.4343,491.312,175.3547,31.5406,40.274,570.922,175.3557
4,60.013,0,26692,0,26634.2,0.0067,25186.5,-3.2703,25532.2,-2.1985,25125.7,-3.251,24245.6,-5.7873,24239,-5.5963,703.111,-5.1094,428.352,-0.772,2.17851,184.0753,703.044,-4.553,428.784,-1.1718,259.26,1.4636,15.4812,-102.5937,31.5406,-139.7857,491.019,175.3893,32.1084,40.5864,570.776,175.3363
5,60.013,0,26686.7,0,26630.1,-0.0027,25185,-3.2731,25531.3,-2.2023,25121.3,-3.2668,24244.2,-5.7975,24237.7,-5.6064,702.79,-5.1178,428.643,-0.7798,1.96948,182.7778,703.044,-4.6315,428.784,-1.2503,259.158,1.4767,15.1052,-103.4332,31.3636,-140.5722,490.873,175.3578,32.1084,40.5079,571.031,175.3128
6,60.012,-0.02,26687.1,0,26629.3,0.007,25183.5,-3.2688,25530.4,-2.199,25122.7,-3.2492,24245.5,-5.7867,24243.4,-5.5917,702.741,-5.0709,428.701,-0.6709,1.2994,185.7733,703.752,-4.6424,428.951,-1.1961,259.056,1.497,15.4812,-102.7437,31.3636,-140.6437,491.129,175.3503,32.1084,40.4364,570.739,175.3223
7,60.012,0,26694,0,26640.6,0.0097,25193.6,-3.269,25535.6,-2.1942,25128.4,-3.2524,24249.5,-5.7861,24247.5,-5.5912,702.695,-5.0483,428.467,-0.6567,0.880778,181.1036,703.872,-4.6551,429.361,-1.2757,259.37,1.5154,15.4812,-102.8394,31.3636,-140.7394,491.241,175.3656,32.1084,40.3407,570.706,175.3616
8,60.012,0,26703,0,26649.6,0.0099,25200.9,-3.2709,25548.2,-2.195,25141.5,-3.2607,24260.5,-5.7891,24254.4,-5.5981,702.81,-5.0822,428.532,-0.5933,1.15038,173.2215,703.684,-4.6187,430.06,-1.306,259.27,1.49,15.1052,-103.7175,31.3636,-140.8565,491.355,175.3585,32.1084,40.2236,571.078,175.3945
9,60.013,0.01,26708.8,0,26655.5,0.0102,25208.3,-3.2608,25553.5,-2.1996,25144.6,-3.2536,24267.3,-5.784,24262.9,-5.6031,702.769,-5.0688,428.188,-0.5332,1.35105,176.4825,703.502,-4.5703,430.35,-1.3404,259.685,1.4071,15.1052,-103.8225,31.3636,-140.9615,491.471,175.3645,31.9289,39.4249,571.194,175.3845
10,60.013,0.02,26707.1,0,26654.9,0.0008,25205.6,-3.2657,25551.5,-2.2055,25141.9,-3.2583,24268.8,-5.7923,24263,-5.6013,702.888,-5.0761,427.962,-0.5134,1.35105,176.392,703.629,-4.5778,430.641,-1.3604,259.585,1.4083,15.1052,-103.913,31.3636,-141.052,491.731,175.337,31.9289,39.3344,570.909,175.375
11,60.013,0,26703.4,0,26646.7,-0.0015,25201.4,-3.272,25546.6,-2.2027,25137.8,-3.2644,24263.5,-5.7967,24257.7,-5.6056,702.576,-5.0746,427.962,-0.5823,1.2994,185.2961,703.91,-4.599,430.404,-1.3201,259.585,1.3394,15.1052,-103.9819,31.754,-141.4359,491.991,175.3321,32.1084,39.9592,570.625,175.3871
12,60.013,0,26700.8,0,26643,0.0081,25197.3,-3.2689,25542.9,-2.2003,25138,-3.2579,24258.1,-5.7916,24252.5,-5.6005,702.852,-5.0862,427.849,-0.5866,1.55518,178.7536,703.606,-4.5879,430.286,-1.3249,259.487,1.3717,15.4812,-103.2804,31.5406,-140.4724,491.708,175.3666,31.7224,40.2283,570.887,175.3826
13,60.013,0.01,26700.4,0,26643.8,-0.0012,25196.2,-3.2742,25542.4,-2.2066,25136.8,-3.263,24255.5,-5.7942,24249.9,-5.603,703.129,-5.1193,427.736,-0.6124,1.76156,180.5816,703.303,-4.5983,430.286,-1.4059,259.804,1.4041,15.1052,-104.1224,31.5406,-140.5534,491.426,175.3796,31.7224,40.1473,571.29,175.3156
14,60.013,0.01,26696.7,0,26644.6,0.0013,25195,-3.2676,25541.9,-2.2009,25131.4,-3.2594,24252.9,-5.7848,24249.1,-5.6037,702.665,-5.0827,427.513,-0.571,1.55518,178.6035,703.435,-4.5844,430.168,-1.4203,259.804,1.335,15.1052,-104.1915,31.5406,-140.6225,491.285,175.3575,32.1084,39.7496,571.008,175.3275
15,60.013,-0.01,26694.3,0,26637.7,-0.001,25191,-3.2644,25538.4,-2.1984,25127.4,-3.2561,24249.3,-5.7898,24248.2,-5.5948,702.79,-5.059,427.401,-0.5752,1.43301,167.924,703.719,-4.5963,430.051,-1.4251,259.707,1.3672,15.1052,-104.251,31.5406,-140.682,491.145,175.345,32.1084,39.6901,570.727,175.349
16,60.013,-0.02,26687.4,0,26629.7,0.0087,25188.4,-3.2687,25536.2,-2.2034,25124.8,-3.2603,24245.7,-5.7924,24244.7,-5.5974,702.483,-5.0455,427.291,-0.577,1.62688,171.2329,703.419,-4.5827,430.228,-1.3572,259.291,1.2887,15.1052,-104.3081,31.3636,-141.4471,490.865,175.3819,31.7224,39.9616,570.448,175.3729
17,60.012,-0.03,26691.6,0,26629.4,0.0064,25186,-3.2665,25534.5,-2.2023,25123.8,-3.2678,24247.5,-5.7937,24242.3,-5.6024,702.763,-5.0812,427.18,-0.6052,1.82517,173.7924,703.555,-4.5833,430.408,-1.3158,259.098,1.3892,15.2854,-102.2166,31.5406,-140.8226,491.13,175.3614,31.7224,39.8781,570.573,175.3844
18,60.012,0,26698.1,0,26640.3,0.0091,25191,-3.2695,25539.1,-2.197,25131.8,-3.2575,24250.5,-5.7923,24249.8,-5.5973,702.306,-5.0801,426.742,-0.4884,1.35105,175.8085,704.275,-4.6286,430.704,-1.3506,259.324,1.4894,15.2854,-102.3215,31.9289,-141.2495,491.661,175.3835,31.7224,39.7732,571.105,175.3885
19,60.012,0,26703.5,0,26650.2,0.0117,25199.1,-3.269,25548.1,-2.1985,25139.9,-3.2567,24256.4,-5.7866,24257.4,-5.6018,701.399,-4.9821,426.311,-0.3807,1.15038,172.3281,704.71,-4.731,431.231,-1.5044,259.647,1.4878,15.4812,-103.8499,32.1084,-140.6699,491.79,175.3791,31.7224,39.6588,571.096,175.4091
20,60.013,0.03,26705.7,0,26653.5,0.0024,25200,-3.2727,25548.5,-2.1937,25135,-3.2532,24255.3,-5.7864,24256.5,-5.6017,701.234,-4.9304,426.098,-0.3718,1.15038,172.2257,704.848,-4.7506,431.527,-1.5369,259.647,1.3854,15.1052,-104.7133,31.7224,-140.4433,491.516,175.3717,31.9088,40.2487,570.823,175.3887
21,60.013,0.02,26701.3,0,26648,0.0121,25197.8,-3.2656,25544,-2.2004,25134.2,-3.2559,24253.1,-5.7865,24248.5,-5.5951,701.519,-4.9613,426.512,-0.4361,1.15038,172.1471,704.841,-4.7112,431.185,-1.4514,259.554,1.3988,14.9045,-103.3519,31.7224,-140.5219,491.38,175.3401,31.9088,40.1701,571.091,175.3641
